Date,value_or_return
2024-08-01,1000000.0
2024-08-02,997584.9641051271
2024-08-05,983908.6808414161
2024-08-06,984581.3657204105
2024-08-07,980301.4240550161
2024-08-08,989663.8016744412
2024-08-09,993554.9360930535
2024-08-12,994745.6215880809
2024-08-13,1004236.7788434054
2024-08-14,1006713.6260457421
2024-08-15,1012344.9420636275
2024-08-16,1014569.8758697112
2024-08-19,1019724.8361165349
2024-08-20,1020566.2976199316
2024-08-21,1023367.8933794368
2024-08-22,1017436.3108268816
2024-08-23,1024868.5215320494
2024-08-26,1023145.4195792024
2024-08-27,1023798.4486539848
2024-08-28,1020667.0251863252
2024-08-29,1019902.8571507714
2024-08-30,1023323.4415056303
2024-09-03,1015809.462705112
2024-09-04,1017278.1811604118
2024-09-05,1017465.5539132927
2024-09-06,1010282.3423440577
2024-09-09,1016149.0046724656
2024-09-10,1020006.2798390901
2024-09-11,1024486.8948853211
2024-09-12,1027859.2985277914
2024-09-13,1031512.5960886268
2024-09-16,1033687.5762443674
2024-09-17,1033147.1478400778
2024-09-18,1030039.1824101813
2024-09-19,1038164.2057974814
2024-09-20,1037253.4925156154
2024-09-23,1038093.7450487604
2024-09-24,1040142.2358397585
2024-09-25,1037011.0675652283
2024-09-26,1038933.6774030589
2024-09-27,1039845.6314724605
2024-09-30,1040543.6112388506
2024-10-01,1037801.1612777904
2024-10-02,1036972.5187230135
2024-10-03,1033653.438918206
2024-10-04,1034428.5538407996
2024-10-07,1028399.031927604
2024-10-08,1033778.848263713
2024-10-09,1035680.7789582165
2024-10-10,1034600.2491825456
2024-10-11,1037609.1744091031
2024-10-14,1041272.6303863629
2024-10-15,1039549.6093179887
2024-10-16,1042431.0961062779
2024-10-17,1039817.9874946787
2024-10-18,1042018.6724561667
2024-10-21,1037513.7540401809
2024-10-22,1037471.352035264
2024-10-23,1031609.1571393674
2024-10-24,1033557.6313121538
2024-10-25,1032281.1142178696
2024-10-28,1033140.016774595
2024-10-29,1034382.2292337266
2024-10-30,1032368.5922864784
2024-10-31,1022622.2222148138
2024-11-01,1022577.0348856135
2024-11-04,1023676.6987327884
2024-11-05,1030870.1404353939
2024-11-06,1038629.6496954389
2024-11-07,1046513.2516567359
2024-11-08,1049744.04331754
2024-11-11,1049193.0293150928
2024-11-12,1044354.9233449344
2024-11-13,1044379.4843009558
2024-11-14,1040964.8404404693
2024-11-15,1034647.2022751032
2024-11-18,1037206.9540729417
2024-11-19,1039997.9605750602
2024-11-20,1039576.1532368477
2024-11-21,1041976.9727915926
2024-11-22,1043764.3259770889
2024-11-25,1050440.7355594428
2024-11-26,1052132.878020957
2024-11-27,1052064.485095069
2024-11-29,1057227.125503332
2024-12-02,1058465.0433885942
2024-12-03,1057441.4310569083
2024-12-04,1062487.2357413536
2024-12-05,1061710.775320808
2024-12-06,1064173.5444849192
2024-12-09,1059877.9142719717
2024-12-10,1057684.7798390335
2024-12-11,1060461.5595027274
2024-12-12,1055646.3988975983
2024-12-13,1053391.8822383555
2024-12-16,1056180.4414183754
2024-12-17,1054127.9013900599
2024-12-18,1034575.5977366318
2024-12-19,1032938.0303183312
2024-12-20,1040559.764475353
2024-12-23,1041874.3724973556
2024-12-24,1048283.5146939775
2024-12-26,1048690.0285345232
2024-12-27,1042169.8519707208
2024-12-30,1038458.8802604292
2024-12-31,1035738.7390456084
2025-01-02,1034732.9197387999
2025-01-03,1040302.4616813334
2025-01-06,1042692.0006106625
2025-01-07,1035085.7343713933
2025-01-08,1036415.4384634725
2025-01-10,1025977.9741386541
2025-01-13,1026224.9269085408
2025-01-14,1027280.2303066296
2025-01-15,1040564.2168551623
2025-01-16,1040633.6554232881
2025-01-17,1045852.7689049956
2025-01-21,1052085.6836939421
2025-01-22,1053862.3192306564
2025-01-23,1055868.683863738
2025-01-24,1055391.7477846267
2025-01-27,1050880.4017507338
2025-01-28,1054978.6058685114
2025-01-29,1052367.5332624693
2025-01-30,1055869.2483083827
2025-01-31,1052376.0236886502
2025-02-03,1049404.7122378768
2025-02-04,1053574.5048414473
2025-02-05,1058421.4403927648
2025-02-06,1059616.4019235084
2025-02-07,1053235.4231739375
2025-02-10,1056867.4661259989
2025-02-11,1056363.606468821
2025-02-12,1051935.0192333413
2025-02-13,1060584.787176179
2025-02-14,1062277.4077219323
2025-02-18,1061788.2299541947
2025-02-19,1063764.4699104647
2025-02-20,1062260.1717855097
2025-02-21,1055739.269892526
2025-02-24,1054156.1459126372
2025-02-25,1055057.4656581972
2025-02-26,1056135.2163902277
2025-02-27,1047362.3253231533
2025-02-28,1057471.5774379484
2025-03-03,1049852.071437043
2025-03-04,1042380.233627832
2025-03-05,1045724.2623178493
2025-03-06,1036440.0942109685
2025-03-07,1038580.6126122887
2025-03-10,1028034.3040407844
2025-03-11,1021958.3940639278
2025-03-12,1023352.6608793328
2025-03-13,1018641.784173478
2025-03-14,1027015.4650610829
2025-03-17,1031469.4020665251
2025-03-18,1026836.2508612508
2025-03-19,1033700.1424625118
2025-03-20,1032525.0820045184
2025-03-21,1032234.680380722
2025-03-24,1038484.1257321457
2025-03-25,1040340.0402004912
2025-03-26,1033259.3725884466
2025-03-27,1031741.8206246194
2025-03-28,1025111.4748718085
2025-03-31,1029279.0684354021
2025-04-01,1032360.7701615562
2025-04-02,1034949.1095347381
2025-04-03,1013987.5612298623
2025-04-04,987538.2417585669
2025-04-07,980077.1075262863
2025-04-08,970156.1298400366
2025-04-09,1016074.0461174119
2025-04-10,991131.8984246817
2025-04-11,998544.0440801627
2025-04-14,1006061.1556370987
2025-04-15,1006121.5270211778
2025-04-16,997393.8902690931
2025-04-17,996833.2843919985
2025-04-21,983098.6458020268
2025-04-22,995522.7526538982
2025-04-23,1003645.103917181
2025-04-24,1016376.2281149651
2025-04-25,1021562.1677825907
2025-04-28,1023095.1040072965
2025-04-29,1027494.3258233545
2025-04-30,1027306.8005457537
2025-05-01,1029132.8869166498
2025-05-02,1033515.4722482655
2025-05-05,1029978.7565590891
2025-05-06,1027153.018787127
2025-05-07,1030220.7716267833
2025-05-08,1030627.154425163
2025-05-09,1030463.1780647946
2025-05-12,1044545.0530051845
2025-05-13,1047615.0132248624
2025-05-14,1046371.7213330988
2025-05-15,1051770.122820925
2025-05-16,1055349.2212770127
2025-05-19,1055754.8681903726
2025-05-20,1053062.1592783332
2025-05-21,1041115.3071289298
2025-05-22,1042820.6927644458
2025-05-23,1040242.727002884
2025-05-27,1053115.045020726
2025-05-28,1048980.321843766
2025-05-29,1052927.3928862577
2025-05-30,1053418.2022581836
2025-06-02,1055049.972200764
2025-06-03,1057338.44536978
2025-06-04,1060606.4502505718
2025-06-05,1057081.3287362608
2025-06-06,1059344.3760233482
2025-06-09,1060639.0517377318
2025-06-10,1064609.2860098067
2025-06-11,1064877.0504589546
2025-06-12,1068966.1878929934
2025-06-13,1061219.8517641327
2025-06-16,1065023.4936240593
2025-06-17,1062354.6712281576
2025-06-18,1062580.2496045758
2025-06-20,1061757.2284169095
2025-06-23,1068159.713309763
2025-06-24,1075517.539645429
2025-06-25,1075960.7712759578
2025-06-26,1081628.5516528978
2025-06-27,1082952.5903917612
2025-06-30,1087671.4400677567
2025-07-01,1087082.2540164308
2025-07-02,1088879.29993543
2025-07-03,1091711.927538944
2025-07-07,1085888.5692865774
2025-07-08,1085293.10024363
2025-07-09,1090688.6705024794
2025-07-10,1092275.9107498322
2025-07-11,1088109.5632813452
2025-07-14,1089055.4574057143
2025-07-15,1085092.7591169942
2025-07-16,1087941.5449882986
2025-07-17,1091373.5627143905
2025-07-18,1091889.468482888
2025-07-21,1094505.3837790831
2025-07-22,1095493.5620967832
2025-07-23,1098948.9211114047
2025-07-24,1098446.060780734
2025-07-25,1102113.6929732342
2025-07-28,1101065.4003418349
2025-07-29,1102507.3062670673
2025-07-30,1100378.1798914778
